rule,trades,mean_hold_days,mean_return_pct,median_return_pct,mean_excess_pp,median_excess_pp,beat_baseline_pct,mean_max_dd_pct,worst_trade_pct
fixed_10,495,11.0,5.48,2.5,2.11,-0.51,48.1,-12.5,-55.0
fixed_20,495,21.0,8.05,3.18,2.33,-2.3,44.0,-17.9,-58.1
fixed_30,495,30.9,10.85,4.52,2.86,-1.47,44.6,-21.9,-50.7
fixed_60,495,60.1,24.35,9.78,8.07,-5.09,42.8,-30.4,-56.9
volume_decay,495,28.1,10.63,-0.6,3.92,-3.9,37.2,-21.6,-55.0
signal_death,495,6.6,3.17,-0.76,1.59,-1.45,41.2,-8.9,-41.3
trailing_10,495,19.8,6.31,-1.5,1.31,-3.01,39.6,-13.6,-39.8
trailing_15,495,31.4,12.94,-1.44,4.14,-4.47,39.8,-18.3,-35.5
trailing_20,495,43.5,19.49,2.38,5.99,-5.37,42.2,-21.8,-39.7
ma20_break,495,17.1,10.32,-1.74,5.94,-2.99,38.6,-14.4,-41.3
