rule,trades,mean_hold_days,mean_return_pct,median_return_pct,mean_excess_pp,median_excess_pp,beat_baseline_pct,mean_max_dd_pct,worst_trade_pct
fixed_10,137,11.0,7.99,5.39,4.21,2.65,54.7,-14.4,-55.0
fixed_20,137,21.0,10.69,4.62,5.54,0.91,50.4,-21.4,-58.1
fixed_30,137,31.0,13.46,7.03,6.78,3.22,51.1,-26.7,-50.7
fixed_60,137,60.0,32.03,7.93,17.73,-0.52,48.2,-36.3,-56.9
volume_decay,137,31.4,15.32,0.37,8.06,-2.37,44.5,-27.5,-55.0
signal_death,137,6.7,4.88,-0.01,3.41,-0.6,43.8,-10.3,-41.3
trailing_10,137,14.0,8.52,1.65,5.17,-0.96,48.2,-14.0,-31.0
trailing_15,137,20.4,10.31,-1.21,6.4,-2.07,47.4,-19.6,-31.0
trailing_20,137,30.6,16.43,1.25,9.92,1.67,54.0,-23.2,-39.7
ma20_break,137,16.8,13.6,0.64,10.03,-0.38,48.9,-16.9,-41.3
