,Sep-Nov 2024,Sep-Nov 2025,consistent,min_abs,passes
atr_pct,0.486,0.551,True,0.486,True
return_5d_pct,-0.482,0.53,False,0.482,False
volatility_20d_pct,0.507,0.477,True,0.477,True
bollinger_width_pct,0.507,0.477,True,0.477,True
gap_freq_21,0.634,0.459,True,0.459,True
volatility_60d_pct,0.618,0.448,True,0.448,True
pct_above_52w_low,0.337,0.437,True,0.337,True
ma50_vs_ma200,0.329,0.467,True,0.329,True
momentum_accel,-0.436,-0.325,True,0.325,True
return_10d_pct,-0.302,0.379,False,0.302,False
rsi_14,-0.252,0.458,False,0.252,False
return_126d_pct,0.235,0.698,True,0.235,False
return_63d_pct,0.217,0.662,True,0.217,False
pct_vs_ma50,-0.207,0.554,False,0.207,False
obv_slope_21,-0.285,-0.187,True,0.187,False
max_dd_63d_pct,-0.335,0.171,False,0.171,False
pct_off_52w_high,-0.342,0.17,False,0.17,False
ad_slope_21,0.149,0.245,True,0.149,False
pct_vs_ma200,0.137,0.661,True,0.137,False
share_vol_ratio,-0.32,-0.101,True,0.101,False
vol_ratio_10_63,-0.328,0.092,False,0.092,False
trend_r2_63,0.092,0.296,True,0.092,False
return_21d_pct,0.089,0.439,True,0.089,False
pct_up_days_21,0.084,0.14,True,0.084,False
vol_ratio_21_126,0.07,0.446,True,0.07,False
up_volume_share,0.057,0.085,True,0.057,False
vol_ratio_5_21,-0.389,-0.032,True,0.032,False
vol_of_vol,-0.02,0.064,False,0.02,False
dollar_vol_musd,0.019,-0.065,False,0.019,False
return_skew_63,0.014,0.239,True,0.014,False
close_in_21d_range,0.007,0.308,True,0.007,False
