threshold,n_above,n_below,excess_above_pp,excess_below_pp,gap_pp,beat_above_pct,beat_below_pct,median_above_pp
2,191,302,4.01,1.61,2.39,49.7,42.7,-0.37
3,187,306,3.71,1.83,1.88,49.2,43.1,-0.53
4,180,313,4.23,1.57,2.65,50.6,42.5,0.08
5,169,324,4.16,1.7,2.47,49.7,43.2,-0.37
6,160,333,4.54,1.58,2.96,50.0,43.2,-0.16
7,152,341,5.18,1.37,3.81,51.3,42.8,0.8
8,137,356,5.72,1.32,4.4,51.8,43.0,0.91
9,133,360,5.75,1.36,4.39,51.9,43.1,0.91
10,123,370,4.99,1.73,3.26,51.2,43.5,0.7
11,111,382,5.91,1.56,4.34,53.2,43.2,1.5
12,41,452,3.6,2.45,1.15,48.8,45.1,-0.84
13,34,459,5.96,2.29,3.67,47.1,45.3,-1.59
14,29,464,6.9,2.27,4.63,51.7,45.0,1.5
