volume_threshold,price_threshold_pct,signals,mean_return_pct,excess_vs_baseline_pct,hit_rate_pct
1.5,15.0,378,9.19,3.82,59.5
1.75,15.0,237,9.14,3.34,56.5
1.75,10.0,263,9.09,3.3,56.7
1.5,10.0,442,8.68,3.29,60.0
1.75,7.0,284,9.19,3.26,57.4
1.35,15.0,472,8.77,3.07,59.5
1.75,5.0,297,8.86,3.05,56.9
1.75,3.0,307,8.47,2.87,56.4
2.0,7.0,169,8.33,2.85,54.4
1.2,15.0,590,8.56,2.71,60.0
2.0,15.0,155,7.86,2.7,52.9
2.0,3.0,181,7.97,2.61,53.6
1.5,7.0,493,8.03,2.54,58.4
2.0,5.0,178,8.25,2.54,54.5
1.35,10.0,573,8.46,2.45,60.0
2.0,10.0,164,7.79,2.39,53.0
1.5,5.0,517,7.92,2.38,58.2
1.2,10.0,760,7.78,2.16,59.2
1.5,3.0,542,7.49,2.0,57.9
1.35,7.0,650,7.72,1.99,58.6
1.35,5.0,700,7.29,1.61,58.6
1.2,7.0,902,7.02,1.51,57.9
1.2,5.0,990,7.02,1.28,58.1
1.35,3.0,744,6.94,1.22,58.6
1.2,3.0,1068,6.52,1.0,57.8
