universe,ticker,category,in_original,date,volume_ratio,persistence,fwd_pct,base_pct,excess_pct
control,ANET,Networking and Optics,yes,2025-08-07,1.54,1,2.56,6.61,-4.05
control,AVGO,Networking and Optics,yes,2023-12-11,1.78,1,5.47,9.11,-3.64
control,AVGO,Networking and Optics,yes,2023-12-26,1.95,10,8.67,-3.65,12.32
control,AVGO,Networking and Optics,yes,2024-06-13,1.56,1,2.42,7.57,-5.15
control,AVGO,Networking and Optics,yes,2024-12-13,1.71,1,1.7,0.89,0.81
control,AVGO,Networking and Optics,yes,2025-01-06,1.6,6,-1.87,-2.62,0.75
control,AVGO,Networking and Optics,yes,2025-09-08,1.52,1,-2.77,22.05,-24.83
control,MRVL,Networking and Optics,yes,2024-01-17,1.51,1,5.51,16.94,-11.44
control,MRVL,Networking and Optics,yes,2024-03-08,1.6,1,-4.64,0.31,-4.95
control,MRVL,Networking and Optics,yes,2024-12-04,1.74,1,0.03,1.51,-1.49
control,MRVL,Networking and Optics,yes,2024-12-24,1.85,6,-13.43,-4.17,-9.25
control,MRVL,Networking and Optics,yes,2025-06-26,1.55,1,-7.13,9.23,-16.35
control,MRVL,Networking and Optics,yes,2025-09-30,1.51,1,5.29,10.13,-4.84
control,MRVL,Networking and Optics,yes,2026-03-09,1.64,1,18.06,3.91,14.15
control,MRVL,Networking and Optics,yes,2026-04-01,1.54,2,54.84,29.85,24.99
control,MRVL,Networking and Optics,yes,2026-04-16,1.8,10,36.9,24.75,12.15
control,MRVL,Networking and Optics,yes,2026-04-30,1.91,10,24.13,18.84,5.29
control,MRVL,Networking and Optics,yes,2026-05-26,1.5,1,32.86,1.71,31.15
control,MRVL,Networking and Optics,yes,2026-06-09,3.29,10,-8.85,-2.1,-6.75
control,MRVL,Networking and Optics,yes,2026-06-25,2.16,5,-30.93,-12.78,-18.15
control,ALAB,Networking and Optics,yes,2024-09-27,1.53,1,35.78,3.27,32.51
control,ALAB,Networking and Optics,yes,2024-10-11,1.68,3,48.9,12.46,36.43
control,ALAB,Networking and Optics,yes,2024-11-05,1.93,2,20.19,18.95,1.23
control,ALAB,Networking and Optics,yes,2024-11-21,1.64,8,26.94,9.34,17.6
control,ALAB,Networking and Optics,yes,2024-12-20,1.5,1,-6.39,11.15,-17.54
control,ALAB,Networking and Optics,yes,2025-07-22,1.51,1,46.32,2.09,44.22
control,ALAB,Networking and Optics,yes,2025-08-05,1.52,7,30.3,4.64,25.66
control,ALAB,Networking and Optics,yes,2025-08-19,1.93,10,45.79,17.03,28.76
control,ALAB,Networking and Optics,yes,2025-09-19,1.8,1,-34.83,7.78,-42.61
control,ALAB,Networking and Optics,yes,2026-04-22,1.54,1,48.14,10.72,37.42
control,ALAB,Networking and Optics,yes,2026-05-14,1.52,1,60.58,4.73,55.85
control,ALAB,Networking and Optics,yes,2026-05-29,1.96,10,32.99,0.88,32.11
