ticker,category,date,price,volume_ratio,price_change_pct,fwd_5d_pct,base_5d_pct,excess_5d_pct,fwd_10d_pct,base_10d_pct,excess_10d_pct,fwd_20d_pct,base_20d_pct,excess_20d_pct,fwd_30d_pct,base_30d_pct,excess_30d_pct,market_cap_busd,size_bucket,persistence_days,persistence_bucket
ANET,Networking and Optics,2025-08-07,139.28,1.54,22.1,-2.01,2.88,-4.89,-5.21,-0.21,-5.0,2.56,8.07,-5.51,7.42,26.12,-18.71,175.66336897344001,4. over $50B,1,1. brief (1-2 days)
AVGO,Networking and Optics,2023-12-11,99.82,1.78,8.3,11.44,7.55,3.89,10.48,15.12,-4.65,5.47,11.61,-6.14,20.06,11.77,8.29,474.90165536436,4. over $50B,1,1. brief (1-2 days)
AVGO,Networking and Optics,2023-12-26,110.28,1.95,10.5,-6.48,-4.92,-1.56,-4.53,-1.73,-2.8,8.67,0.02,8.65,12.62,6.46,6.16,524.66594423544,4. over $50B,11,4. very persistent (10+ days)
AVGO,Networking and Optics,2024-06-13,164.28,1.56,23.1,-1.21,-1.25,0.04,-4.07,-1.07,-3.0,2.42,7.89,-5.47,-10.25,-3.27,-6.98,781.5752749274401,4. over $50B,1,1. brief (1-2 days)
AVGO,Networking and Optics,2024-12-13,221.38,1.71,38.7,-1.78,-5.17,3.38,5.08,-6.82,11.89,1.7,-1.92,3.61,-3.81,-5.96,2.15,1053.23310423324,4. over $50B,1,1. brief (1-2 days)
AVGO,Networking and Optics,2025-01-06,233.43,1.6,8.6,-4.95,-4.26,-0.69,1.9,6.02,-4.11,-1.87,-3.81,1.95,-4.09,-2.91,-1.18,1110.56194561914,4. over $50B,10,4. very persistent (10+ days)
AVGO,Networking and Optics,2025-09-08,343.14,1.52,17.6,5.33,10.75,-5.42,-1.82,17.77,-19.59,-2.77,23.4,-26.17,1.21,28.46,-27.24,1632.51606914172,4. over $50B,1,1. brief (1-2 days)
MRVL,Networking and Optics,2024-01-17,64.9,1.51,12.5,10.59,3.38,7.2,3.58,5.96,-2.38,5.51,18.04,-12.53,9.64,20.11,-10.47,58.32592938370001,4. over $50B,1,1. brief (1-2 days)
MRVL,Networking and Optics,2024-03-08,74.89,1.6,11.6,-11.34,-2.95,-8.39,-11.77,2.4,-14.18,-4.64,2.73,-7.38,-16.56,-3.69,-12.87,67.30398846757,4. over $50B,1,1. brief (1-2 days)
MRVL,Networking and Optics,2024-12-04,117.61,1.74,32.2,-5.75,-2.3,-3.44,-10.89,-6.7,-4.19,0.03,-2.93,2.96,4.82,1.93,2.88,105.69664953492999,4. over $50B,1,1. brief (1-2 days)
MRVL,Networking and Optics,2024-12-24,115.42,1.85,8.7,-2.06,-2.57,0.51,-1.36,-1.81,0.45,-13.43,-7.86,-5.57,-2.67,1.01,-3.68,103.72848643246,4. over $50B,10,4. very persistent (10+ days)
MRVL,Networking and Optics,2025-06-26,79.73,1.55,17.2,-5.99,4.3,-10.29,-9.0,2.38,-11.38,-7.13,10.49,-17.62,-3.21,13.46,-16.67,71.65371879449,4. over $50B,1,1. brief (1-2 days)
MRVL,Networking and Optics,2025-09-30,83.89,1.51,22.1,3.45,3.48,-0.03,2.63,6.61,-3.98,5.29,13.34,-8.05,6.33,10.99,-4.67,75.39232998457001,4. over $50B,1,1. brief (1-2 days)
MRVL,Networking and Optics,2026-03-09,92.58,1.64,19.1,-1.15,3.72,-4.88,-2.69,3.61,-6.29,18.06,5.48,12.57,63.4,28.94,34.46,83.20207307154,4. over $50B,1,1. brief (1-2 days)
MRVL,Networking and Optics,2026-04-01,106.63,1.54,21.8,12.39,12.04,0.35,25.05,22.0,3.05,54.84,33.7,21.14,71.18,54.86,16.33,95.82887288419,4. over $50B,6,3. persistent (6-9 days)
MRVL,Networking and Optics,2026-04-16,133.34,1.8,25.0,24.14,6.76,17.38,23.83,9.69,14.14,36.9,26.13,10.77,53.71,34.44,19.27,119.83327309742,4. over $50B,11,4. very persistent (10+ days)
MRVL,Networking and Optics,2026-04-30,165.11,1.91,23.8,-3.11,7.91,-11.02,10.55,14.96,-4.4,24.13,22.63,1.5,69.36,22.04,47.32,148.38511865243004,4. over $50B,14,4. very persistent (10+ days)
MRVL,Networking and Optics,2026-05-26,208.21,1.5,21.9,39.63,9.76,29.87,28.15,-0.58,28.73,32.86,3.95,28.91,16.81,-1.6,18.41,187.11928747273,4. over $50B,2,1. brief (1-2 days)
MRVL,Networking and Optics,2026-06-09,266.81,3.29,28.1,4.42,4.26,0.15,3.68,4.7,-1.02,-8.85,-1.01,-7.84,-21.55,-5.64,-15.91,239.78337779453,4. over $50B,11,4. very persistent (10+ days)
MRVL,Networking and Optics,2026-06-25,281.19,2.16,11.4,-12.79,-10.45,-2.34,-16.14,-7.39,-8.75,-30.93,-15.1,-15.83,-22.22,-11.52,-10.7,252.70675012947,4. over $50B,9,3. persistent (6-9 days)
ALAB,Networking and Optics,2024-09-27,53.52,1.53,23.2,-2.2,0.24,-2.45,24.61,4.1,20.5,35.78,4.18,31.6,85.54,17.28,68.25,9.28492276608,2. $2B - $10B,1,1. brief (1-2 days)
ALAB,Networking and Optics,2024-10-11,66.69,1.68,24.6,0.27,0.52,-0.25,8.97,0.35,8.62,48.9,12.99,35.91,53.37,16.28,37.09,11.56972158576,3. $10B - $50B,4,2. building (3-5 days)
ALAB,Networking and Optics,2024-11-05,95.91,1.93,40.4,-5.38,9.1,-14.48,-0.76,9.47,-10.23,20.19,20.14,0.05,27.69,11.97,15.72,16.63895632464,3. $10B - $50B,6,3. persistent (6-9 days)
ALAB,Networking and Optics,2024-11-21,104.12,1.64,10.2,-0.84,3.38,-4.21,15.64,10.16,5.48,26.94,1.28,25.66,28.31,4.32,24.0,18.06326902848,3. $10B - $50B,11,4. very persistent (10+ days)
ALAB,Networking and Optics,2024-12-20,132.17,1.5,9.8,3.22,-1.88,5.09,1.08,2.89,-1.81,-6.39,11.63,-18.01,-20.93,1.95,-22.88,22.929526195679998,3. $10B - $50B,4,2. building (3-5 days)
